調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,注釈
2015100000,2015年度,2323,青森県 深浦町,,8429,
2015100000,2015年度,2343,青森県 西目屋村,,1415,
2015100000,2015年度,2361,青森県 藤崎町,,15179,
2015100000,2015年度,2362,青森県 大鰐町,,9676,
2015100000,2015年度,2367,青森県 田舎館村,,7783,
2015100000,2015年度,2381,青森県 板柳町,,13935,
2015100000,2015年度,2384,青森県 鶴田町,,13392,
2015100000,2015年度,2387,青森県 中泊町,,11187,
2015100000,2015年度,2401,青森県 野辺地町,,13524,
2015100000,2015年度,2402,青森県 七戸町,,15709,
2015100000,2015年度,2405,青森県 六戸町,,10423,
2015100000,2015年度,2406,青森県 横浜町,,4535,
2015100000,2015年度,2408,青森県 東北町,,17955,
2015100000,2015年度,2411,青森県 六ヶ所村,,10536,
2015100000,2015年度,2412,青森県 おいらせ町,,24222,
2015100000,2015年度,2423,青森県 大間町,,5227,
2015100000,2015年度,2424,青森県 東通村,,6607,
2015100000,2015年度,2425,青森県 風間浦村,,1976,
2015100000,2015年度,2426,青森県 佐井村,,2148,
2015100000,2015年度,2441,青森県 三戸町,,10135,
2015100000,2015年度,2442,青森県 五戸町,,17433,
2015100000,2015年度,2443,青森県 田子町,,5554,
2015100000,2015年度,2445,青森県 南部町,,18312,
2015100000,2015年度,2446,青森県 階上町,,14025,
2015100000,2015年度,2450,青森県 新郷村,,2509,
2015100000,2015年度,3201,岩手県 盛岡市,,297631,
2015100000,2015年度,3202,岩手県 宮古市,,56676,
2015100000,2015年度,3203,岩手県 大船渡市,,38058,
2015100000,2015年度,3205,岩手県 花巻市,,97702,
2015100000,2015年度,3206,岩手県 北上市,,93511,
2015100000,2015年度,3207,岩手県 久慈市,,35642,
2015100000,2015年度,3208,岩手県 遠野市,,28062,
2015100000,2015年度,3209,岩手県 一関市,,121583,
2015100000,2015年度,3210,岩手県 陸前高田市,,19758,
2015100000,2015年度,3211,岩手県 釜石市,,36802,
2015100000,2015年度,3213,岩手県 二戸市,,27611,
2015100000,2015年度,3214,岩手県 八幡平市,,26355,
2015100000,2015年度,3215,岩手県 奥州市,,119422,
2015100000,2015年度,3216,岩手県 滝沢市,,55463,
2015100000,2015年度,3301,岩手県 雫石町,,16981,
2015100000,2015年度,3302,岩手県 葛巻町,,6344,
2015100000,2015年度,3303,岩手県 岩手町,,13692,
2015100000,2015年度,3321,岩手県 紫波町,,32614,
2015100000,2015年度,3322,岩手県 矢巾町,,27678,
2015100000,2015年度,3366,岩手県 西和賀町,,5880,
2015100000,2015年度,3381,岩手県 金ケ崎町,,15895,
2015100000,2015年度,3402,岩手県 平泉町,,7868,
2015100000,2015年度,3441,岩手県 住田町,,5720,
2015100000,2015年度,3461,岩手県 大槌町,,11759,
2015100000,2015年度,3482,岩手県 山田町,,15826,
2015100000,2015年度,3483,岩手県 岩泉町,,9841,
2015100000,2015年度,3484,岩手県 田野畑村,,3466,
2015100000,2015年度,3485,岩手県 普代村,,2795,
2015100000,2015年度,3501,岩手県 軽米町,,9333,
2015100000,2015年度,3503,岩手県 野田村,,4149,
2015100000,2015年度,3506,岩手県 九戸村,,5865,
2015100000,2015年度,3507,岩手県 洋野町,,16693,
2015100000,2015年度,3524,岩手県 一戸町,,12919,
2015100000,2015年度,4100,宮城県 仙台市,,1082159,
2015100000,2015年度,4101,宮城県 仙台市 青葉区,,310183,
2015100000,2015年度,4102,宮城県 仙台市 宮城野区,,194825,
2015100000,2015年度,4103,宮城県 仙台市 若林区,,133498,
2015100000,2015年度,4104,宮城県 仙台市 太白区,,226855,
2015100000,2015年度,4105,宮城県 仙台市 泉区,,216798,
2015100000,2015年度,4202,宮城県 石巻市,,147214,
2015100000,2015年度,4203,宮城県 塩竈市,,54187,
2015100000,2015年度,4205,宮城県 気仙沼市,,64988,
2015100000,2015年度,4206,宮城県 白石市,,35272,
2015100000,2015年度,4207,宮城県 名取市,,76668,
2015100000,2015年度,4208,宮城県 角田市,,30180,
2015100000,2015年度,4209,宮城県 多賀城市,,62096,
2015100000,2015年度,4211,宮城県 岩沼市,,44678,
2015100000,2015年度,4212,宮城県 登米市,,81959,
2015100000,2015年度,4213,宮城県 栗原市,,69906,
2015100000,2015年度,4214,宮城県 東松島市,,39503,
2015100000,2015年度,4215,宮城県 大崎市,,133391,
2015100000,2015年度,4216,宮城県 富谷市,,51591,
2015100000,2015年度,4301,宮城県 蔵王町,,12316,
2015100000,2015年度,4302,宮城県 七ヶ宿町,,1461,
2015100000,2015年度,4321,宮城県 大河原町,,23798,
2015100000,2015年度,4322,宮城県 村田町,,11501,
2015100000,2015年度,4323,宮城県 柴田町,,39525,
2015100000,2015年度,4324,宮城県 川崎町,,9167,
2015100000,2015年度,4341,宮城県 丸森町,,13972,
2015100000,2015年度,4361,宮城県 亘理町,,33589,
2015100000,2015年度,4362,宮城県 山元町,,12315,
2015100000,2015年度,4401,宮城県 松島町,,14421,
2015100000,2015年度,4404,宮城県 七ヶ浜町,,18652,
2015100000,2015年度,4406,宮城県 利府町,,35835,
2015100000,2015年度,4421,宮城県 大和町,,28244,
2015100000,2015年度,4422,宮城県 大郷町,,8370,
2015100000,2015年度,4424,宮城県 大衡村,,5703,
2015100000,2015年度,4444,宮城県 色麻町,,7238,
2015100000,2015年度,4445,宮城県 加美町,,23743,
2015100000,2015年度,4501,宮城県 涌谷町,,16701,
2015100000,2015年度,4505,宮城県 美里町,,24852,
2015100000,2015年度,4581,宮城県 女川町,,6334,
2015100000,2015年度,4606,宮城県 南三陸町,,12370,
2015100000,2015年度,5201,秋田県 秋田市,,315814,
2015100000,2015年度,5202,秋田県 能代市,,54730,
2015100000,2015年度,5203,秋田県 横手市,,92197,
2015100000,2015年度,5204,秋田県 大館市,,74175,
2015100000,2015年度,5206,秋田県 男鹿市,,28375,
2015100000,2015年度,5207,秋田県 湯沢市,,46613,
2015100000,2015年度,5209,秋田県 鹿角市,,32038,
2015100000,2015年度,5210,秋田県 由利本荘市,,79927,
2015100000,2015年度,5211,秋田県 潟上市,,33083,
2015100000,2015年度,5212,秋田県 大仙市,,82783,
2015100000,2015年度,5213,秋田県 北秋田市,,33224,
2015100000,2015年度,5214,秋田県 にかほ市,,25324,
2015100000,2015年度,5215,秋田県 仙北市,,27523,
2015100000,2015年度,5303,秋田県 小坂町,,5339,
2015100000,2015年度,5327,秋田県 上小阿仁村,,2381,
2015100000,2015年度,5346,秋田県 藤里町,,3359,
2015100000,2015年度,5348,秋田県 三種町,,17078,
2015100000,2015年度,5349,秋田県 八峰町,,7309,
2015100000,2015年度,5361,秋田県 五城目町,,9463,
2015100000,2015年度,5363,秋田県 八郎潟町,,6080,
2015100000,2015年度,5366,秋田県 井川町,,4986,
2015100000,2015年度,5368,秋田県 大潟村,,3110,
2015100000,2015年度,5434,秋田県 美郷町,,20279,
2015100000,2015年度,5463,秋田県 羽後町,,15319,
2015100000,2015年度,5464,秋田県 東成瀬村,,2610,
2015100000,2015年度,6201,山形県 山形市,,253832,
2015100000,2015年度,6202,山形県 米沢市,,85953,
2015100000,2015年度,6203,山形県 鶴岡市,,129652,
2015100000,2015年度,6204,山形県 酒田市,,106244,
2015100000,2015年度,6205,山形県 新庄市,,36894,
2015100000,2015年度,6206,山形県 寒河江市,,41256,
2015100000,2015年度,6207,山形県 上山市,,31569,
2015100000,2015年度,6208,山形県 村山市,,24684,
2015100000,2015年度,6209,山形県 長井市,,27757,
2015100000,2015年度,6210,山形県 天童市,,62194,
2015100000,2015年度,6211,山形県 東根市,,47768,
2015100000,2015年度,6212,山形県 尾花沢市,,16953,
2015100000,2015年度,6213,山形県 南陽市,,32285,
2015100000,2015年度,6301,山形県 山辺町,,14369,
2015100000,2015年度,6302,山形県 中山町,,11363,
2015100000,2015年度,6321,山形県 河北町,,18952,
2015100000,2015年度,6322,山形県 西川町,,5636,
2015100000,2015年度,6323,山形県 朝日町,,7119,
2015100000,2015年度,6324,山形県 大江町,,8472,
2015100000,2015年度,6341,山形県 大石田町,,7357,
2015100000,2015年度,6361,山形県 金山町,,5829,
2015100000,2015年度,6362,山形県 最上町,,8902,
2015100000,2015年度,6363,山形県 舟形町,,5631,
2015100000,2015年度,6364,山形県 真室川町,,8137,
2015100000,2015年度,6365,山形県 大蔵村,,3412,
2015100000,2015年度,6366,山形県 鮭川村,,4317,
2015100000,2015年度,6367,山形県 戸沢村,,4773,
2015100000,2015年度,6381,山形県 高畠町,,23882,
2015100000,2015年度,6382,山形県 川西町,,15751,
2015100000,2015年度,6401,山形県 小国町,,7868,
2015100000,2015年度,6402,山形県 白鷹町,,14175,
2015100000,2015年度,6403,山形県 飯豊町,,7304,
2015100000,2015年度,6426,山形県 三川町,,7728,
2015100000,2015年度,6428,山形県 庄内町,,21666,
2015100000,2015年度,6461,山形県 遊佐町,,14207,
2015100000,2015年度,7201,福島県 福島市,,294247,
2015100000,2015年度,7202,福島県 会津若松市,,124062,
2015100000,2015年度,7203,福島県 郡山市,,335444,
2015100000,2015年度,7204,福島県 いわき市,,350237,
2015100000,2015年度,7205,福島県 白河市,,61913,
2015100000,2015年度,7207,福島県 須賀川市,,77441,
2015100000,2015年度,7208,福島県 喜多方市,,49377,
2015100000,2015年度,7209,福島県 相馬市,,38556,
2015100000,2015年度,7210,福島県 二本松市,,58162,
2015100000,2015年度,7211,福島県 田村市,,38503,
2015100000,2015年度,7212,福島県 南相馬市,,57797,
2015100000,2015年度,7213,福島県 伊達市,,62400,
2015100000,2015年度,7214,福島県 本宮市,,30924,
2015100000,2015年度,7301,福島県 桑折町,,12271,
2015100000,2015年度,7303,福島県 国見町,,9512,
2015100000,2015年度,7308,福島県 川俣町,,14452,
2015100000,2015年度,7322,福島県 大玉村,,8679,
2015100000,2015年度,7342,福島県 鏡石町,,12486,
2015100000,2015年度,7344,福島県 天栄村,,5611,
2015100000,2015年度,7362,福島県 下郷町,,5800,
2015100000,2015年度,7364,福島県 檜枝岐村,,615,
2015100000,2015年度,7367,福島県 只見町,,4470,
2015100000,2015年度,7368,福島県 南会津町,,16264,
2015100000,2015年度,7402,福島県 北塩原村,,2831,
2015100000,2015年度,7405,福島県 西会津町,,6582,
2015100000,2015年度,7407,福島県 磐梯町,,3579,
2015100000,2015年度,7408,福島県 猪苗代町,,15037,
2015100000,2015年度,7421,福島県 会津坂下町,,16303,
2015100000,2015年度,7422,福島県 湯川村,,3206,
2015100000,2015年度,7423,福島県 柳津町,,3536,
2015100000,2015年度,7444,福島県 三島町,,1668,
2015100000,2015年度,7445,福島県 金山町,,2189,
2015100000,2015年度,7446,福島県 昭和村,,1322,
2015100000,2015年度,7447,福島県 会津美里町,,20913,
2015100000,2015年度,7461,福島県 西郷村,,20322,
2015100000,2015年度,7464,福島県 泉崎村,,6495,
2015100000,2015年度,7465,福島県 中島村,,5001,
2015100000,2015年度,7466,福島県 矢吹町,,17370,
2015100000,2015年度,7481,福島県 棚倉町,,14295,
2015100000,2015年度,7482,福島県 矢祭町,,5950,
2015100000,2015年度,7483,福島県 塙町,,9157,
2015100000,2015年度,7484,福島県 鮫川村,,3577,
2015100000,2015年度,7501,福島県 石川町,,15880,
2015100000,2015年度,7502,福島県 玉川村,,6777,
2015100000,2015年度,7503,福島県 平田村,,6505,
2015100000,2015年度,7504,福島県 浅川町,,6577,
2015100000,2015年度,7505,福島県 古殿町,,5373,
2015100000,2015年度,7521,福島県 三春町,,18304,
2015100000,2015年度,7522,福島県 小野町,,10475,
2015100000,2015年度,7541,福島県 広野町,,4319,
2015100000,2015年度,7542,福島県 楢葉町,,975,
2015100000,2015年度,7543,福島県 富岡町,,0,
2015100000,2015年度,7544,福島県 川内村,,2021,
2015100000,2015年度,7545,福島県 大熊町,,0,
2015100000,2015年度,7546,福島県 双葉町,,0,
2015100000,2015年度,7547,福島県 浪江町,,0,
2015100000,2015年度,7548,福島県 葛尾村,,18,
2015100000,2015年度,7561,福島県 新地町,,8218,
2015100000,2015年度,7564,福島県 飯舘村,,41,
2015100000,2015年度,8201,茨城県 水戸市,,270783,
2015100000,2015年度,8202,茨城県 日立市,,185054,
2015100000,2015年度,8203,茨城県 土浦市,,140804,
2015100000,2015年度,8204,茨城県 古河市,,140946,
2015100000,2015年度,8205,茨城県 石岡市,,76020,
2015100000,2015年度,8207,茨城県 結城市,,51594,
2015100000,2015年度,8208,茨城県 龍ケ崎市,,78342,
2015100000,2015年度,8210,茨城県 下妻市,,43293,
2015100000,2015年度,8211,茨城県 常総市,,61483,
2015100000,2015年度,8212,茨城県 常陸太田市,,52294,
2015100000,2015年度,8214,茨城県 高萩市,,29638,
2015100000,2015年度,8215,茨城県 北茨城市,,44412,
2015100000,2015年度,8216,茨城県 笠間市,,76739,
2015100000,2015年度,8217,茨城県 取手市,,106570,
2015100000,2015年度,8219,茨城県 牛久市,,84317,
2015100000,2015年度,8220,茨城県 つくば市,,226963,
2015100000,2015年度,8221,茨城県 ひたちなか市,,155689,
2015100000,2015年度,8222,茨城県 鹿嶋市,,67879,
2015100000,2015年度,8223,茨城県 潮来市,,29111,
